title,content,author,dynasty,scope
静夜思,"床前明月光，疑是地上霜。
举头望明月，低头思故乡。",李白,唐,180首诗词
江雪,"千山鸟飞绝，万径人踪灭。
孤舟蓑笠翁，独钓寒江雪。",柳宗元,唐,180首诗词
山中,"荆溪白石出，天寒红叶稀。
山路元无雨，空翠湿人衣。",王维,唐,180首诗词
竹里馆,"独坐幽篁里，弹琴复长啸。
深林人不知，明月来相照。",王维,唐,180首诗词
春晓,"春眠不觉晓，处处闻啼鸟。
夜来风雨声，花落知多少。",孟浩然,唐,180首诗词
鸟鸣涧,"人闲桂花落，夜静春山空。
月出惊山鸟，时鸣春涧中。",王维,唐,180首诗词
登鹳雀楼,"白日依山尽，黄河入海流。
欲穷千里目，更上一层楼。",王之涣,唐,180首诗词
行宫,"寥落古行宫，宫花寂寞红。
白头宫女在，闲坐说玄宗。",元稹,唐,180首诗词
相思,"红豆生南国，春来发几枝。
愿君多采撷，此物最相思。",王维,唐,180首诗词
寻隐者不遇,"松下问童子，言师采药去。
只在此山中，云深不知处。",贾岛,唐,180首诗词
八阵图,"功盖三分国，名成八阵图。
江流石不转，遗恨失吞吴。",杜甫,唐,180首诗词
登乐游原,"向晚意不适，驱车登古原。
夕阳无限好，只是近黄昏。",李商隐,唐,180首诗词
杂诗三首·其二,"君自故乡来，应知故乡事。
来日绮窗前，寒梅著花未？",王维,唐,180首诗词
宿建德江,"移舟泊烟渚，日暮客愁新。
野旷天低树，江清月近人。",孟浩然,唐,180首诗词
宫词·故国三千里,"故国三千里，深宫二十年。
一声何满子，双泪落君前。",张祜,唐,180首诗词
鹿柴,"空山不见人，但闻人语响。
返景入深林，复照青苔上。",王维,唐,180首诗词
问刘十九,"绿蚁新醅酒，红泥小火炉。
晚来天欲雪，能饮一杯无？",白居易,唐,180首诗词
怨情,"美人卷珠帘，深坐颦蛾眉。
但见泪痕湿，不知心恨谁。",李白,唐,180首诗词
渡汉江,"岭外音书断，经冬复历春。
近乡情更怯，不敢问来人。",宋之问,唐,180首诗词
清明,"清明时节雨纷纷，路上行人欲断魂。
借问酒家何处有，牧童遥指杏花村。",杜牧,唐,180首诗词
咏柳 / 柳枝词,"碧玉妆成一树高，万条垂下绿丝绦。
不知细叶谁裁出，二月春风似剪刀。",贺知章,唐,180首诗词
芙蓉楼送辛渐,"寒雨连江夜入吴，平明送客楚山孤。
洛阳亲友如相问，一片冰心在玉壶。",王昌龄,唐,180首诗词
嫦娥,"云母屏风烛影深，长河渐落晓星沉。
嫦娥应悔偷灵药，碧海青天夜夜心。",李商隐,唐,180首诗词
黄鹤楼送孟浩然之广陵,"故人西辞黄鹤楼，烟花三月下扬州。
孤帆远影碧空尽，唯见长江天际流。",李白,唐,180首诗词
